Nosaukums,Adrese,Telefons,E-pasts,Majaslapa,GPS,Logo,Attels,Novads,Gultas,Teltis,Kemperi,Kempinga info
1 Apaļkalns,"""Apaļkalns"", Raiskuma pag., Cēsu nov. LV-4146",+371 29448188,apalkalns@inbox.lv,http://www.apalkalns.lv,"57.318333, 25.148056",../media/katalogs/kempings/1/logo.png,../media/katalogs/kempings/1/1.jpg,../media/katalogs/novadi/cesis.png,32,80,50,Atvērts: 15 IV - 1 X Teritorijas platība: 3 ha Apsargāta teritorija: Jā Atrodas: lauku teritorijā
2 BB Camping,"Lībiešu iela 2/6, Liepāja, LV-3414",+371 24339965,info@bbcamping.lv,http://www.bbcamping.lv,"56.563819, 21.017336",../media/katalogs/kempings/2/logo.jpg,../media/katalogs/kempings/2/1.jpg,../media/katalogs/novadi/liepaja.png,33,60,16,Atvērts: 1 V - 30 IX Teritorijas platība: Apsargāta teritorija: Jā Atrodas: pilsētā
3 Bukdangas,"Bukdangas, Ģibuļu pag., Talsu novads, LV-3298",+371 29256487,info@bukdangas.lv,http://bukdangas.lv,"57.189444, 22.212778",../media/katalogs/kempings/3/logo.png,../media/katalogs/kempings/3/1.jpg,../media/katalogs/novadi/talsi.png,60,0,45,Atvērts: 1 V - 30 IX Teritorijas platība: 4 hektāri Apsargāta teritorija: Nē Atrodas: lauku teritorijā
5 Pie Daugavas,"Ceriņi, Jaunjelgava, Aizkraukles novads LV-5134",+371 25678898,info@kempingspiedaugavas.com,http://www.kempingspiedaugavas.com,"56.618825, 25.107037",../media/katalogs/kempings/5/logo.png,../media/katalogs/kempings/5/1.jpg,../media/katalogs/novadi/aizkraukle.png,12,10,4,Atvērts: 1 V - 30 IX Teritorijas platība: Apsargāta teritorija: Jā Atrodas: lauku teritorijā
6 Riverside Camping,"Matrožu iela 12, Rīga, LV-1048",+371 26658899,riverside@one4event.lv,www.riversidecamping.lv,"56.962935, 24.079726",../media/katalogs/kempings/6/logo.png,../media/katalogs/kempings/6/1.jpg,../media/katalogs/novadi/riga.png,20,40,0,Atvērts: 15 V - 15 IX Teritorijas platība: Apsargāta teritorija: Jā Atrodas: pilsētā
8 Ezernieki,"""Ezernieki"", Indrānu pagasts, Madonas novads, LV-4827","+371 26671421, +371 26666090",ezernieki@lvm.lv,http://mammadaba.lv,"56.812222, 26.565556",../media/katalogs/kempings/8/logo.png,../media/katalogs/kempings/8/1.jpg,../media/katalogs/novadi/madona.png,59,500,20,Atvērts:1 I - 31 XII Teritorijas platība: 4 ha Apsargāta teritorija: Nē Atrodas: lauku teritorijā
10 Ezerpriedes,"Ezerpriedes, Burtnieku pagasts, Valmieras novads, LV-4206",+371 29461455,info@ezerpriedes.lv,http://www.ezerpriedes.lv,"57.7332, 25.292089",../media/katalogs/kempings/10/logo.jpg,../media/katalogs/kempings/10/1.jpg,../media/katalogs/novadi/valmiera.png,40,100,10,Atvērts: 1 V - 1 XI Teritorijas platība: 7 ha Apsargāta teritorija: Nē Atrodas: lauku teritorijā
11 Daugavas lokos,"”Erlavas ”, Slutišķu sādža, Naujenes pagasts, Daugavpils novads, LV-5462",+371 24662655,info@plostunoma.lv,http://www.daugavaslokos.lv,"55.910004, 26.879404",../media/katalogs/kempings/11/logo.png,../media/katalogs/kempings/11/1.jpg,../media/katalogs/novadi/daugavpils.png,120,50,60,Atvērts: 1 IV - 1 IX Teritorijas platība: Apsargāta teritorija: Jā Atrodas: lauku teritorijā
12 Jaunzāģeri,"""Jaunzāģeri"", Krimuldas pag., Siguldas nov.",+371 22002033,info@jaunzageri.lv,http://www.jaunzageri.lv,"57.228889, 24.906111",../media/katalogs/kempings/12/logo.png,../media/katalogs/kempings/12/1.jpg,../media/katalogs/novadi/sigulda.png,36,100,20,Atvērts: 1 I - 31 XII Teritorijas platība: Apsargāta teritorija: Nē Atrodas: lauku teritorijā
13 Jūrasdzeņi,"Jūras iela 10, Tūja, ""Jūrasdzeņi"", Liepupes pag., Limbažu nov., LV-4022",+371 26550574,info@jurasdzeni.lv,http://www.jurasdzeni.lv,"57.490, 24.383056",../media/katalogs/kempings/13/logo.png,../media/katalogs/kempings/13/1.jpg,../media/katalogs/novadi/limbazi.png,15,0,0,Atvērts: 1 V - 31 IX Teritorijas platība: 3 ha Apsargāta teritorija: Nē Atrodas: lauku teritorijā
15 Kanoe kempings,"Gaujas iela 36, Līgatne, LV-4110",+371 29244948,karina@makars.lv,http://www.makars.lv,"57.254201, 25.045223",../media/katalogs/kempings/15/logo.png,../media/katalogs/kempings/15/1.jpg,../media/katalogs/novadi/ligatne.png,8,0,25,Atvērts: 15 V - 15 IX Teritorijas platība: Apsargāta teritorija: Jā Atrodas: lauku teritorijā
17 Labirinti,"Bērziņi, Zorģi, Bauskas novads, LV-3913","+371 26320336, +371 26425247",info@kempingslabirinti.lv,http://www.labirinti.lv,"56.563488, 24.168103",../media/katalogs/kempings/17/logo.jpg,../media/katalogs/kempings/17/1.jpg,../media/katalogs/novadi/bauska.png,4,20,32,"Atvērts: 1 IV - 31 X Teritorijas platība: 0,5 ha Apsargāta teritorija: Jā Atrodas: lauku teritorijā"
18 Lakeside,"„Pļivkas”, Kalnabeites, Siguldas pag., Siguldas nov., LV-2150",+371 27152155,camping@lakeside.lv,http://www.lakeside.lv,"57.130887, 24.864357",../media/katalogs/kempings/18/logo.png,../media/katalogs/kempings/18/1.jpg,../media/katalogs/novadi/sigulda.png,10,10,,Atvērts: 1 V - 1 X Teritorijas platība: Apsargāta teritorija: Jā Atrodas: lauku teritorijā
19 Leiputrija,"Stirniņas, Iļķene, Ādažu novads LV-2164",+371 227296331,info@leiputrija.com,http://www.leiputrija.com,"57.089694, 24.444639",../media/katalogs/kempings/19/logo.jpg,../media/katalogs/kempings/19/1.jpg,../media/katalogs/novadi/adazi.png,65,30,20,Atvērts: 1 V - 1 X Teritorijas platība: 3 ha Apsargāta teritorija: Jā Atrodas: lauku teritorijā
20 Meža Salas,"""Meža Salas"", Limbažu pagasts, Limbažu novads, LV-4020",+371 29122133,info@mezasalas.lv,http://www.mezasalas.lv,"57.481667, 24.563889",../media/katalogs/kempings/20/logo.png,../media/katalogs/kempings/20/1.jpg,../media/katalogs/novadi/limbazi.png,20,20,0,Atvērts: 1 I - 31 XII Teritorijas platība: 10 ha Apsargāta teritorija: Jā Atrodas: lauku teritorijā
21 Miķeļbāka,"Kempings Miķeļbāka, Miķeļtornis, Tārgales pag., Ventspils nov., LV-3601",+371 27884438,martins@mikelbaka.lv,http://www.mikelbaka.lv,"57.596944, 21.965",../media/katalogs/kempings/21/logo.png,../media/katalogs/kempings/21/1.jpg,../media/katalogs/novadi/ventspils.png,104,0,40,Atvērts: 1 V - 31 VIII Teritorijas platība: Apsargāta teritorija: Nē Atrodas: pilsētā
23 Milleri,"Pērnavas iela 35C, Salacgrīva, Limbažu novads, LV-4033","+371 29120001, +371 29120023, +371 26121484",milleri@inbox.lv,http://m.facebook.com/kempingsmilleri/,"57.778761, 24.354522",../media/katalogs/kempings/23/logo.png,../media/katalogs/kempings/23/1.jpg,../media/katalogs/novadi/limbazi.png,70,0,4,"Atvērts: 20 V - 15 IX Teritorijas platība: 1,6 ha Apsargāta teritorija: Jā Atrodas: pilsētā"
24 Nabīte,"""Nabīte"", Padures pagasts, Kuldīgas novads, LV-3321","+371 29458904, +371 26327997",nabite@inbox.lv,http://www.nabite.lv,"57.074722, 21.813056",../media/katalogs/kempings/24/logo.png,../media/katalogs/kempings/24/1.jpg,../media/katalogs/novadi/kuldiga.png,160,0,10,Atvērts: Teritorijas platība: 11 ha Apsargāta teritorija: Jā Atrodas: pilsētā
25 Vaivari,"Atbalss iela 1, Jūrmala, LV-2008",+371 28010171,reservation@campingvaivari.lv,http://www.campingvaivari.lv,"56.959167, 23.64500",../media/katalogs/kempings/25/logo.png,../media/katalogs/kempings/25/1.jpg,../media/katalogs/novadi/jurmala.png,200,0,100,Atvērts: 1 V - 1 X Teritorijas platība: 5 ha Apsargāta teritorija: Nē Atrodas: pilsētā
26 Ozolkalns,"""Saulkrasti"", Drabešu pagasts, Cēsu novads, LV-4101",+371 26400200,info@ozolkalns.lv,"http://www.ozolkalns.lv , facebook.com/ozolkalns/","57.294373, 25.222056",../media/katalogs/kempings/26/logo.png,../media/katalogs/kempings/26/1.jpg,../media/katalogs/novadi/cesis.png,26,30,3,Atvērts: Teritorijas platība: Apsargāta teritorija: Nē Atrodas: lauku teritorijā
27 Piejūras kempings,"Vasarnīcu 56 , Ventspils, LV-3601","+371 63627925, +371 22008805",camping@ventspils.lv,http://www.camping.ventspils.lv,"57.383817, 21.53728",../media/katalogs/kempings/27/logo.png,../media/katalogs/kempings/27/1.jpg,../media/katalogs/novadi/ventspils.png,0,100,0,"Atvērts: 15 V - 15 IX Teritorijas platība: 1,5 ha Apsargāta teritorija: Jā Atrodas: pilsētā"
30 Riga City Camping,"Ķīpsalas iela 8, Rīga, LV-1048","+371 67067519, +371 67065000",camping@bt1.lv,http://www.rigacamping.lv,"56.956389, 24.078333",../media/katalogs/kempings/30/logo.jpg,../media/katalogs/kempings/30/1.jpg,../media/katalogs/novadi/riga.png,440,10,0,Atvērts: 1 I - 31 XII Teritorijas platība: Apsargāta teritorija: Nē Atrodas: lauku teritorijā
32 Ronīši,"Ronīši, Klapkalnciems, Tukuma novads, LV-3113",+371 26305551,ronisi@rtu.lv,http://www.ronisi.lv,"57.042222, 23.366944",../media/katalogs/kempings/32/logo.png,../media/katalogs/kempings/32/1.jpg,../media/katalogs/novadi/tukums.png,22,20,15,Atvērts: 15.V-15.IX Teritorijas platība: Apsargāta teritorija: Nē Atrodas: lauku teritorijā
33 Rūgumi,"Camping Rūgumi, Vērgales pagasts, Dienvidkurzemes novads, LV-3463",+371 29747773,camping@rugumi.eu,http://rugumi.eu,"56.706324, 21.062096",../media/katalogs/kempings/33/logo.jpg,../media/katalogs/kempings/33/1.jpg,../media/katalogs/novadi/dienvidkurzeme.png,0,0,30,Atvērts: Teritorijas platība: 1 ha Apsargāta teritorija: Nē Atrodas: pilsētā
34 Siguldas pludmale,"Peldu iela 2, Sigulda, LV-2150",+371 29244948,karina@makars.lv,http://www.makars.lv,"57.158333, 24.837222",../media/katalogs/kempings/34/logo.png,../media/katalogs/kempings/34/1.jpg,../media/katalogs/novadi/sigulda.png,8,0,44,"Atvērts: 1 V - 1 X Teritorijas platība: 2,1 ha Apsargāta teritorija: Nē Atrodas: pilsētā"
35 Siveri,"Siveri, Kaziņči, Skaistas pagasts, Krāslavas novads",+371 29278599,inga.indriksone@inbox.lv,"http://www.campsiveri.lv , facebook.com/camping siveri","56.023507, 27.399494",../media/katalogs/kempings/35/logo.jpg,../media/katalogs/kempings/35/1.jpg,../media/katalogs/novadi/kraslava.png,46,70,20,Atvērts: 1 I - 31 XII Teritorijas platība: 3 ha Apsargāta teritorija: Nē Atrodas: pilsētā
36 Sniedzes,"Sniedzes, Tomes pagasts (P85 19.km), Ogres novads, LV-5020",+371 29425800,sniedzes@apollo.lv,https://www.facebook.com/sniedzes,"56.811667, 24.5625",../media/katalogs/kempings/36/logo.jpg,../media/katalogs/kempings/36/1.jpg,../media/katalogs/novadi/ogre.png,50,0,5,"Atvērts: 1 VI - 31 VIII Teritorijas platība: 2,4 ha Apsargāta teritorija: Nē Atrodas: pilsētā"
37 Spāre,"""Dumbri"" Ģibuļu pagasts, Talsu novads, LV-3298",+371 26669099,n.grinberga@lvm.lv,http://mammadaba.lv,"57.219167, 22.259167",../media/katalogs/kempings/37/logo.png,../media/katalogs/kempings/37/1.jpg,../media/katalogs/novadi/talsi.png,172,100,0,Atvērts: 1 I - 31 XII Teritorijas platība: 10 ha Apsargāta teritorija: Jā Atrodas: pilsētā
38 LVM Kalsnavas Arborētums,"Ogu Īves, Jaunkalsnava, Kalsnavas pag., Madonas nov., LV-4860",+371 27841099,arboretums@lvm.lv,http://www.mammadaba.lv,"56.686019, 25.944483",../media/katalogs/kempings/38/logo.png,../media/katalogs/kempings/38/1.jpg,../media/katalogs/novadi/madona.png,7,0,0,Atvērts: 1 I- 1 XII Teritorijas platība: 1 ha Apsargāta teritorija: Jā Atrodas: lauku teritorijā
39 Usma SPA hotel & camping,"Priežkalni, Usmas pagasts, Ventspils novads, LV-3619",+371 26334500,usma@usma.lv,http://www.usma.lv,"57.240562, 22.17118",../media/katalogs/kempings/39/logo.png,../media/katalogs/kempings/39/1.jpg,../media/katalogs/novadi/ventspils.png,79,70,10,Atvērts: 1 V - 1 X Teritorijas platība: 5 ha Apsargāta teritorija: Jā Atrodas: lauku teritorijā
40 LVM dabas parka glempings,"“Podziņas”, Tērvetes pag., Dobeles nov., LV-3730",+371 26115333,glempings@lvm.lv,https://www.mammadaba.lv,"56.48728, 23.371949",../media/katalogs/kempings/40/logo.jpg,../media/katalogs/kempings/40/1.jpg,../media/katalogs/novadi/dobele.png,0,0,10,Atvērts: 1 I- 1 XII Teritorijas platība: 1 ha Apsargāta teritorija: Jā Atrodas: lauku teritorijā
42 Zanzibāra,"""Birzmaļi"", Ķekava, Ķekavas novads, LV-2123",+371 22001295,zane@zanzibara.lv,http://www.zanzibara.lv,"56.812735, 24.203376",../media/katalogs/kempings/42/logo.jpg,../media/katalogs/kempings/42/1.jpg,../media/katalogs/novadi/kekava.png,6,0,8,Atvērts: 15 IV - 15 X Teritorijas platība: Apsargāta teritorija: Nē Atrodas: lauku teritorijā
44 Vējiņi,"„Vējiņi”,Straupes pagasts,Cēsu novads, LV-4152",+371 29354189,pazemesezeri@gmail.com,http://www.pazemesezeri.lv,"57.339722, 24.905556",../media/katalogs/kempings/44/logo.jpg,../media/katalogs/kempings/44/1.jpg,../media/katalogs/novadi/cesis.png,10,0,5,Atvērts: 1 I - 31 XII Teritorijas platība: 6 ha Apsargāta teritorija: Nē Atrodas: pilsētā
45 Žagarkalns,"Mūrlejas iela 12, Cēsis, LV-4101",+371 26266266,info@zagarkalns.lv,http://www.zagarkalns.lv,"57.308349, 25.221512",../media/katalogs/kempings/45/logo.jpg,../media/katalogs/kempings/45/1.jpg,../media/katalogs/novadi/cesis.png,6,100,50,Atvērts: 15 V - 15 IX Teritorijas platība: Apsargāta teritorija: Nē Atrodas: pilsētā
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
